,iso2_code,language,year_quarter,unique_id,num_pushers,language_type,year,quarter,gpt_available,population,num_pushers_pc,post_gpt,Treatment
113,AE,C++,2020-Q2,AE-C++,284,programming,2020,2,1,9446000,3.0065636248147363,0,0
114,AE,C++,2020-Q3,AE-C++,281,programming,2020,3,1,9446000,2.9748041499047218,0,0
115,AE,C++,2020-Q4,AE-C++,366,programming,2020,4,1,9446000,3.8746559390218085,0,0
116,AE,C++,2021-Q1,AE-C++,382,programming,2021,5,1,9446000,4.044039805208554,0,0
117,AE,C++,2021-Q2,AE-C++,449,programming,2021,6,1,9446000,4.753334744865551,0,0
118,AE,C++,2021-Q3,AE-C++,375,programming,2021,7,1,9446000,3.9699343637518525,0,0
119,AE,C++,2021-Q4,AE-C++,416,programming,2021,8,1,9446000,4.403980520855388,0,0
120,AE,C++,2022-Q1,AE-C++,426,programming,2022,9,1,9446000,4.509845437222105,0,0
121,AE,C++,2022-Q2,AE-C++,588,programming,2022,10,1,9446000,6.224857082362905,0,0
122,AE,C++,2022-Q3,AE-C++,547,programming,2022,11,1,9446000,5.790810925259369,0,0
123,AE,C++,2022-Q4,AE-C++,629,programming,2022,12,1,9446000,6.658903239466441,1,1
124,AE,C++,2023-Q1,AE-C++,762,programming,2023,13,1,9446000,8.066906627143764,1,1
125,AE,C++,2023-Q2,AE-C++,801,programming,2023,14,1,9446000,8.479779800973956,1,1
126,AE,C++,2023-Q3,AE-C++,807,programming,2023,15,1,9446000,8.543298750793987,1,1
127,AE,C++,2023-Q4,AE-C++,806,programming,2023,16,1,9446000,8.532712259157316,1,1
128,AE,Swift,2020-Q1,AE-Swift,178,programming,2020,1,1,9446000,1.884395511327546,0,0
129,AE,Swift,2020-Q2,AE-Swift,200,programming,2020,2,1,9446000,2.1172983273343213,0,0
130,AE,Swift,2020-Q3,AE-Swift,210,programming,2020,3,1,9446000,2.2231632437010376,0,0
131,AE,Swift,2020-Q4,AE-Swift,219,programming,2020,4,1,9446000,2.318441668431082,0,0
132,AE,Swift,2021-Q1,AE-Swift,236,programming,2021,5,1,9446000,2.498412026254499,0,0
133,AE,Swift,2021-Q2,AE-Swift,244,programming,2021,6,1,9446000,2.583103959347872,0,0
134,AE,Swift,2021-Q3,AE-Swift,259,programming,2021,7,1,9446000,2.7419013338979465,0,0
135,AE,Swift,2021-Q4,AE-Swift,257,programming,2021,8,1,9446000,2.720728350624603,0,0
136,AE,Swift,2022-Q1,AE-Swift,327,programming,2022,9,1,9446000,3.4617827651916158,0,0
137,AE,Swift,2022-Q2,AE-Swift,355,programming,2022,10,1,9446000,3.758204531018421,0,0
138,AE,Swift,2022-Q3,AE-Swift,365,programming,2022,11,1,9446000,3.8640694473851367,0,0
139,AE,Swift,2022-Q4,AE-Swift,358,programming,2022,12,1,9446000,3.7899640059284354,1,1
140,AE,Swift,2023-Q1,AE-Swift,471,programming,2023,13,1,9446000,4.986237560872326,1,1
141,AE,Swift,2023-Q2,AE-Swift,547,programming,2023,14,1,9446000,5.790810925259369,1,1
142,AE,Swift,2023-Q3,AE-Swift,541,programming,2023,15,1,9446000,5.727291975439339,1,1
143,AE,Swift,2023-Q4,AE-Swift,497,programming,2023,16,1,9446000,5.261486343425788,1,1
144,AE,Kotlin,2020-Q1,AE-Kotlin,157,programming,2020,1,1,9446000,1.6620791869574423,0,0
145,AE,Kotlin,2020-Q2,AE-Kotlin,178,programming,2020,2,1,9446000,1.884395511327546,0,0
146,AE,Kotlin,2020-Q3,AE-Kotlin,182,programming,2020,3,1,9446000,1.9267414778742324,0,0
147,AE,Kotlin,2020-Q4,AE-Kotlin,192,programming,2020,4,1,9446000,2.0326063942409482,0,0
148,AE,Kotlin,2021-Q1,AE-Kotlin,199,programming,2021,5,1,9446000,2.10671183569765,0,0
149,AE,Kotlin,2021-Q2,AE-Kotlin,257,programming,2021,6,1,9446000,2.720728350624603,0,0
150,AE,Kotlin,2021-Q3,AE-Kotlin,244,programming,2021,7,1,9446000,2.583103959347872,0,0
151,AE,Kotlin,2021-Q4,AE-Kotlin,231,programming,2021,8,1,9446000,2.4454795680711414,0,0
152,AE,Kotlin,2022-Q1,AE-Kotlin,321,programming,2022,9,1,9446000,3.398263815371586,0,0
153,AE,Kotlin,2022-Q2,AE-Kotlin,350,programming,2022,10,1,9446000,3.7052720728350628,0,0
154,AE,Kotlin,2022-Q3,AE-Kotlin,414,programming,2022,11,1,9446000,4.382807537582045,0,0
155,AE,Kotlin,2022-Q4,AE-Kotlin,456,programming,2022,12,1,9446000,4.827440186322253,1,1
156,AE,Kotlin,2023-Q1,AE-Kotlin,528,programming,2023,13,1,9446000,5.5896675841626084,1,1
157,AE,Kotlin,2023-Q2,AE-Kotlin,489,programming,2023,14,1,9446000,5.176794410332416,1,1
158,AE,Kotlin,2023-Q3,AE-Kotlin,474,programming,2023,15,1,9446000,5.017997035782342,1,1
159,AE,Kotlin,2023-Q4,AE-Kotlin,491,programming,2023,16,1,9446000,5.197967393605759,1,1
160,AL,JavaScript,2020-Q1,AL-JavaScript,847,programming,2020,1,1,2895947,29.247772835621646,0,0
161,AL,JavaScript,2020-Q2,AL-JavaScript,988,programming,2020,2,1,2895947,34.1166464717759,0,0
162,AL,JavaScript,2020-Q3,AL-JavaScript,776,programming,2020,3,1,2895947,26.796070508196458,0,0
163,AL,JavaScript,2020-Q4,AL-JavaScript,912,programming,2020,4,1,2895947,31.49228905087006,0,0
164,AL,JavaScript,2021-Q1,AL-JavaScript,1226,programming,2021,5,1,2895947,42.33502892145471,0,0
165,AL,JavaScript,2021-Q2,AL-JavaScript,1215,programming,2021,6,1,2895947,41.95518771579728,0,0
166,AL,JavaScript,2021-Q3,AL-JavaScript,1006,programming,2021,7,1,2895947,34.73820480830623,0,0
167,AL,JavaScript,2021-Q4,AL-JavaScript,922,programming,2021,8,1,2895947,31.837599237831355,0,0
168,AL,JavaScript,2022-Q1,AL-JavaScript,1242,programming,2022,9,1,2895947,42.88752522059278,0,0
169,AL,JavaScript,2022-Q2,AL-JavaScript,1636,programming,2022,10,1,2895947,56.49274658686778,0,0
170,AL,JavaScript,2022-Q3,AL-JavaScript,1252,programming,2022,11,1,2895947,43.23283540755408,0,0
171,AL,JavaScript,2022-Q4,AL-JavaScript,1222,programming,2022,12,1,2895947,42.19690484667019,1,1
172,AL,JavaScript,2023-Q1,AL-JavaScript,1047,programming,2023,13,1,2895947,36.15397657484754,1,1
173,AL,JavaScript,2023-Q2,AL-JavaScript,1221,programming,2023,14,1,2895947,42.16237382797406,1,1
174,AL,JavaScript,2023-Q3,AL-JavaScript,1055,programming,2023,15,1,2895947,36.430224724416576,1,1
175,AL,JavaScript,2023-Q4,AL-JavaScript,1111,programming,2023,16,1,2895947,38.36396177139982,1,1
176,AL,Python,2020-Q1,AL-Python,194,programming,2020,1,1,2895947,6.699017627049114,0,0
177,AL,Python,2020-Q2,AL-Python,218,programming,2020,2,1,2895947,7.527762075756221,0,0
178,AL,Python,2020-Q3,AL-Python,200,programming,2020,3,1,2895947,6.906203739225891,0,0
179,AL,Python,2020-Q4,AL-Python,212,programming,2020,4,1,2895947,7.320575963579444,0,0
180,AL,Python,2021-Q1,AL-Python,315,programming,2021,5,1,2895947,10.877270889280776,0,0
181,AL,Python,2021-Q2,AL-Python,314,programming,2021,6,1,2895947,10.842739870584648,0,0
