git_pushes,iso2_code,year,quarter,gpt_available,post_1,post_2,gpt_available_post1,gpt_available_post2,year_quarter_num,population,pushes_pc,developers,developers_pc,pushes_perdev
2568632,KR,2020,2,1,0,0,0,0,2,50423955,0.05094070863739268,833824,0.016536267335634423,3.0805445753540317
1768177,ES,2020,2,1,0,0,0,0,2,46507760,0.0380189671573088,711308,0.01529439388179521,2.4858106474269936
1631123,PL,2020,2,1,0,0,0,0,2,38496000,0.042371233374896095,571515,0.014846087905236907,2.854033577421415
1546578,NL,2020,2,1,0,0,0,0,2,16881000,0.09161649191398615,601586,0.035636869853681655,2.5708344276628776
1467433,UA,2020,2,1,0,0,0,0,2,42973696,0.03414723741704693,611294,0.014224841167955393,2.4005355851685115
1409299,AU,2020,2,1,0,0,0,0,2,23696900,0.05947187184821643,734852,0.031010469723887935,1.9177997746485007
1118936,IT,2020,2,1,0,0,0,0,2,60769102,0.01841290990279896,521524,0.008582058691602848,2.1455119994477725
1112939,ID,2020,2,1,0,0,0,0,2,252164800,0.0044135382892457635,978184,0.0038791457015412145,1.137760380460118
1038412,HK,2020,2,0,0,0,0,0,2,7234800,0.14353015978326975,463352,0.06404489412285067,2.2410866900326316
920613,VN,2020,2,0,0,0,0,0,2,89708900,0.010262225932989926,559974,0.006242123133825072,1.644028115591081
888822,SE,2020,2,1,0,0,0,0,2,9737521,0.0912780573207493,339616,0.03487704930238405,2.6171381795910675
856745,CH,2020,2,1,0,0,0,0,2,8183800,0.10468792003714655,232183,0.02837105012341455,3.689955767648794
842705,TW,2020,2,1,0,0,0,0,2,23424615,0.03597519105436738,446342,0.019054400680651527,1.888025325871193
803902,MX,2020,2,1,0,0,0,0,2,119713203,0.006715232571297921,595987,0.004978456720433752,1.348858280465849
753909,CO,2020,2,1,0,0,0,0,2,47907800,0.015736665010708067,318051,0.0066388145562935475,2.370402859918692
744663,AR,2020,2,1,0,0,0,0,2,42669500,0.017451880148583884,318451,0.007463199709394298,2.338391149658817
737223,IL,2020,2,1,0,0,0,0,2,8268400,0.08916150645832326,272006,0.032897053843548935,2.710318890024485
731619,SG,2020,2,1,0,0,0,0,2,5469700,0.13375852423350457,330375,0.0604009360659634,2.214510783200908
607130,BE,2020,2,1,0,0,0,0,2,11225469,0.05408504535534328,232366,0.02069989236084479,2.6128177099919956
570416,TR,2020,2,0,0,0,0,0,2,76667864,0.007440092500816248,542562,0.007076785131251342,1.0513379116119448
537746,CZ,2020,2,1,0,0,0,0,2,10521600,0.05110876672749392,166849,0.01585775927615572,3.222950092598697
486257,DK,2020,2,1,0,0,0,0,2,5655750,0.08597568845864828,187717,0.03319046987579013,2.590372741946654
476932,NG,2020,2,1,0,0,0,0,2,178517000,0.002671633513895035,203064,0.0011375051115580029,2.34867824922192
476574,NO,2020,2,1,0,0,0,0,2,5156450,0.09242288783950198,167930,0.032566979220199944,2.8379324718632764
458279,RO,2020,2,1,0,0,0,0,2,19942642,0.022979853923065962,235652,0.011816488507390345,1.9447278189873203
449701,FI,2020,2,1,0,0,0,0,2,5470437,0.08220568119146605,154161,0.02818074680322614,2.917086682105072
440526,PT,2020,2,1,0,0,0,0,2,10477800,0.04204374964210044,186497,0.017799251751321844,2.3621077014643665
439407,BY,2020,2,0,0,0,0,0,2,9475100,0.04637491952591529,158595,0.016738081919979737,2.770623285727797
429917,AT,2020,2,1,0,0,0,0,2,8527230,0.05041695837921576,158917,0.01863641534237965,2.705292699962874
415181,IE,2020,2,1,0,0,0,0,2,6378000,0.06509579805581688,156763,0.02457870805895265,2.6484629663887524
390126,BD,2020,2,1,0,0,0,0,2,157486000,0.0024772106726947156,246934,0.0015679742961279097,1.579879643953445
389032,PK,2020,2,1,0,0,0,0,2,188410000,0.002064816092564089,354073,0.0018792686163154823,1.0987338769123882
369416,NZ,2020,2,1,0,0,0,0,2,4547900,0.08122781943314497,150778,0.03315332351195057,2.4500656594463384
368282,TH,2020,2,1,0,0,0,0,2,64871000,0.005677143870142282,331449,0.005109355490126559,1.1111272020733205
345923,PH,2020,2,1,0,0,0,0,2,100697400,0.003435272410211187,454544,0.004513959645432752,0.761033035305713
339308,EG,2020,2,0,0,0,0,0,2,87668100,0.0038703701802594104,269768,0.0030771512100752725,1.257777052875063
332131,HU,2020,2,1,0,0,0,0,2,9879000,0.03361990079967608,151979,0.015384046968316632,2.1853742951328803
304045,ZA,2020,2,1,0,0,0,0,2,54002000,0.005630254435020925,225046,0.0041673641716973445,1.3510348995316512
269027,BG,2020,2,1,0,0,0,0,2,7245677,0.037129311726150645,112717,0.015556448348442803,2.3867473406850785
265838,CL,2020,2,1,0,0,0,0,2,17819054,0.014918749334280034,180792,0.010145993159906243,1.4704079826540997
240367,PE,2020,2,1,0,0,0,0,2,30814175,0.007800533358430008,171657,0.005570715425611752,1.400274966939886
240128,GR,2020,2,1,0,0,0,0,2,10992589,0.02184453544110491,124884,0.011360744952804112,1.9228083661638
231468,MY,2020,2,1,0,0,0,0,2,30430500,0.007606447478680929,257191,0.008451750710635711,0.8999848361723388
224575,LK,2020,2,1,0,0,0,0,2,20277597,0.011075030241502483,95516,0.004710420075909389,2.3511767661962395
220074,KE,2020,2,1,0,0,0,0,2,41800000,0.005264928229665072,100837,0.0024123684210526314,2.18247270347194
200770,RS,2020,2,1,0,0,0,0,2,7186862,0.027935697109531255,103646,0.014421593179331954,1.9370742720413716
176080,IR,2020,2,0,0,0,0,0,2,77966400,0.002258408750436085,230216,0.002952759137269388,0.7648469263648052
149687,NP,2020,2,1,0,0,0,0,2,27646053,0.00541440761905506,78400,0.0028358478514093855,1.9092729591836735
134697,MA,2020,2,1,0,0,0,0,2,33465000,0.004025011205737337,161134,0.004815000747049156,0.8359315848920774
134417,SK,2020,2,1,0,0,0,0,2,5415949,0.024818734445246807,60596,0.011188436227889148,2.218248729289062
130870,TN,2020,2,1,0,0,0,0,2,10982754,0.011915954777827129,96518,0.008788141844932519,1.3559128867154313
130382,LT,2020,2,1,0,0,0,0,2,2927310,0.04453986766007017,60955,0.020822871510021147,2.1389877778689197
118889,EC,2020,2,1,0,0,0,0,2,15888900,0.007482519242993537,80365,0.0050579335259206114,1.4793629067380079
118134,KZ,2020,2,1,0,0,0,0,2,17377800,0.006797983634292027,77896,0.004482500661763859,1.5165605422614767
116660,HR,2020,2,1,0,0,0,0,2,4267558,0.02733647673915621,62191,0.014572971240226846,1.875834123908604
112115,EE,2020,2,1,0,0,0,0,2,1315819,0.08520548798884953,42924,0.03262150797336108,2.611942037088808
